x	y	z	t
0.470991	420.895	68.8639	2.97504
0.428723	420.464	68.7724	3.02603
0.428408	419.966	68.6985	3.08039
0.427413	419.451	68.6206	3.13625
0.426396	418.956	68.5426	3.19006
0.425886	418.487	68.4658	3.2408
0.428139	418.004	68.3878	3.29283
0.430171	417.509	68.31	3.34611
0.433434	417.047	68.2406	3.39613
0.434091	416.574	68.1712	3.44764
0.436219	416.086	68.1015	3.50038
0.435507	415.569	68.0265	3.55626
0.436449	415.04	67.9499	3.61332
0.434458	414.532	67.8737	3.66836
0.432748	414.007	67.7937	3.72465
0.429415	413.493	67.7144	3.77973
0.426771	412.974	67.634	3.83532
0.424607	412.464	67.5555	3.88985
0.422999	411.954	67.4771	3.94449
0.421242	411.477	67.4039	3.99542
0.419792	410.968	67.3262	4.05
0.418502	410.484	67.2509	4.10158
0.416217	409.951	67.1673	4.15834
0.416689	409.443	67.0871	4.21273
0.418285	408.924	67.0054	4.26854
0.42879	408.445	66.93	4.31979
0.440734	407.925	66.8473	4.37588
0.458365	407.425	66.7667	4.42985
0.473871	406.933	66.6875	4.48292
0.485507	406.446	66.6102	4.5358
0.501854	405.958	66.5328	4.58894
0.511437	405.437	66.4508	4.64539
0.520216	404.93	66.3708	4.7007
0.528368	404.447	66.2949	4.75367
0.53981	403.932	66.2126	4.80953
0.55171	403.426	66.1319	4.86407
0.563963	402.962	66.0575	4.91433
0.576172	402.438	65.9744	4.97082
0.59376	401.919	65.8923	5.02683
0.599895	401.417	65.814	5.08165
0.619935	400.903	65.7337	5.1377
0.62883	400.398	65.6567	5.19267
0.657899	399.907	65.5826	5.24631
0.673416	399.418	65.5121	5.29957
0.698722	398.935	65.4431	5.35224
0.732222	398.443	65.3741	5.40583
0.75129	397.943	65.3064	5.4605
0.7721	397.457	65.2409	5.51338
0.80627	396.98	65.1776	5.56546
0.832411	396.502	65.1133	5.61735
0.851077	395.993	65.0472	5.67203
0.87328	395.514	64.9836	5.72299
0.889319	395.015	64.9161	5.77579
0.916837	394.512	64.8432	5.82899
0.935174	394.031	64.766	5.87944
0.954286	393.548	64.6816	5.92996
0.96995	393.037	64.5866	5.98319
0.98005	392.548	64.4927	6.03395
0.983889	392.067	64.4006	6.08413
0.980638	391.536	64.3003	6.13991
0.971614	391.015	64.2068	6.19485
0.955866	390.477	64.1114	6.25155
0.930053	389.957	64.0256	6.30668
0.907609	389.473	63.9481	6.35835
0.88823	388.945	63.8658	6.41486
0.857371	388.472	63.7932	6.46593
0.819151	387.951	63.7163	6.52276
0.776757	387.487	63.6504	6.57357
0.727347	387.02	63.5853	6.62525
0.674442	386.57	63.5243	6.67548
0.593845	386.07	63.4581	6.73172
0.531536	385.599	63.3952	6.78422
0.443591	385.134	63.3334	6.83632
0.369396	384.636	63.2684	6.89265
0.278146	384.143	63.2014	6.94841
0.204768	383.645	63.133	7.00384
0.121186	383.155	63.0598	7.05873
0.0500475	382.643	62.9785	7.11482
-0.0236739	382.167	62.898	7.1665
-0.0812742	381.669	62.8097	7.22062
-0.13855	381.17	62.7226	7.27453
-0.185357	380.7	62.6398	7.32483
-0.241231	380.211	62.5536	7.37771
-0.2781	379.725	62.4675	7.42947
-0.308644	379.21	62.3743	7.48446
-0.342235	378.71	62.2852	7.53812
-0.359969	378.189	62.1917	7.59384
-0.376344	377.717	62.1101	7.64425
-0.394722	377.208	62.0241	7.69915
-0.399396	376.722	61.9434	7.75195
-0.405002	376.227	61.8628	7.8055
-0.411742	375.733	61.7826	7.85905
-0.409826	375.258	61.7036	7.91087
-0.407639	374.751	61.6198	7.9655
-0.403387	374.241	61.5348	8.02026
-0.398311	373.753	61.4533	8.07281
-0.386938	373.237	61.3682	8.12814
-0.378294	372.72	61.2856	8.18336
-0.363655	372.203	61.2074	8.23896
-0.36268	371.683	61.1334	8.29493
-0.338048	371.187	61.0634	8.34893
-0.32997	370.698	60.9972	8.40218
-0.294305	370.169	60.9236	8.45965
-0.27282	369.667	60.8567	8.51485
-0.230685	369.189	60.7931	8.56756
-0.204628	368.709	60.7352	8.62064
-0.171453	368.24	60.6792	8.67241
-0.135385	367.767	60.6238	8.72484
-0.108056	367.286	60.566	8.7774
-0.0744737	366.782	60.5011	8.83211
-0.0450428	366.296	60.4316	8.88532
-0.00278157	365.814	60.3594	8.93751
0.0219932	365.325	60.2838	8.99031
0.057256	364.823	60.2043	9.04426
0.111539	364.306	60.1213	9.09992
0.143736	363.8	60.0371	9.15401
0.191453	363.265	59.9459	9.21151
0.220271	362.797	59.8652	9.26175
0.247675	362.288	59.7789	9.31627
0.288616	361.798	59.6966	9.36895
0.305693	361.262	59.6062	9.42618
0.334539	360.739	59.5177	9.48243
0.36672	360.217	59.4291	9.53835
0.389726	359.688	59.3379	9.59474
0.419202	359.149	59.2471	9.65202
0.436977	358.671	59.169	9.70273
0.453209	358.142	59.0841	9.75881
0.457548	357.665	59.0073	9.80929
0.455434	357.174	58.928	9.8613
0.447807	356.664	58.8467	9.91504
0.430463	356.173	58.7699	9.96725
0.418051	355.639	58.6902	10.0246
0.390695	355.11	58.6132	10.0817
0.367169	354.625	58.5428	10.1338
0.333023	354.143	58.4746	10.1859
0.284195	353.627	58.405	10.2424
0.246733	353.144	58.3387	10.2959
0.197952	352.64	58.271	10.3515
0.144249	352.161	58.2049	10.4048
0.0911038	351.706	58.143	10.4552
0.0272584	351.202	58.0723	10.5111
-0.0205075	350.709	57.9971	10.5657
-0.0761532	350.255	57.9218	10.6162
-0.132955	349.755	57.8335	10.6716
-0.189512	349.249	57.7425	10.7275
-0.26567	348.781	57.6554	10.7785
-0.31118	348.267	57.5569	10.8339
-0.37697	347.77	57.4645	10.8884
-0.414197	347.247	57.3644	10.9451
-0.457656	346.784	57.2773	10.9951
-0.5089	346.292	57.1864	11.0488
-0.532232	345.801	57.0964	11.1018
-0.565671	345.313	57.012	11.1541
-0.597362	344.823	56.9297	11.2066
-0.628682	344.32	56.8473	11.2609
-0.648668	343.819	56.7676	11.3145
-0.670519	343.321	56.6899	11.3681
-0.681861	342.831	56.6132	11.421
-0.688924	342.365	56.541	11.471
-0.689571	341.859	56.4621	11.5256
-0.684051	341.332	56.3807	11.5822
-0.676797	340.832	56.3024	11.6364
-0.662556	340.347	56.2272	11.6892
-0.649758	339.858	56.1537	11.7423
-0.631445	339.337	56.0777	11.7984
-0.610018	338.844	56.0121	11.8522
-0.585526	338.362	55.95	11.9051
-0.553443	337.881	55.8917	11.9581
-0.525292	337.404	55.8368	12.0109
-0.501824	336.937	55.7904	12.0628
-0.481215	336.453	55.7355	12.1157
-0.44159	335.96	55.6742	12.1696
-0.433165	335.48	55.6112	12.2225
-0.405286	334.993	55.5397	12.2761
-0.373305	334.488	55.4624	12.3314
-0.339925	333.987	55.3801	12.386
-0.296789	333.463	55.288	12.4423
-0.262041	332.957	55.1969	12.4967
-0.207252	332.465	55.1074	12.55
-0.190476	331.958	55.0111	12.6033
-0.172132	331.456	54.9188	12.6559
-0.149118	330.972	54.8289	12.7063
-0.125948	330.425	54.7256	12.7631
-0.105901	329.885	54.6273	12.8195
-0.105701	329.348	54.532	12.8753
-0.105346	328.866	54.4512	12.9257
-0.11099	328.374	54.3715	12.9773
-0.12235	327.845	54.2902	13.0332
-0.13812	327.337	54.2168	13.0871
-0.160808	326.803	54.1466	13.144
-0.195736	326.281	54.0795	13.2004
-0.210573	325.779	54.0221	13.2546
-0.233468	325.302	53.9684	13.3067
-0.263128	324.795	53.9162	13.363
-0.309363	324.28	53.8558	13.4207
-0.325303	323.794	53.8011	13.4748
-0.350245	323.331	53.7391	13.526
-0.376681	322.822	53.6637	13.5828
-0.416395	322.318	53.5817	13.6386
-0.434491	321.815	53.4872	13.6938
-0.47934	321.32	53.3875	13.7486
-0.495778	320.793	53.2734	13.8052
-0.540694	320.279	53.1641	13.8604
-0.567188	319.779	53.0561	13.9139
-0.617855	319.247	52.9542	13.9714
-0.646144	318.746	52.859	14.0251
-0.687166	318.215	52.763	14.0821
-0.720117	317.702	52.6753	14.1367
-0.760398	317.181	52.5851	14.1923
-0.785565	316.667	52.4991	14.247
-0.81293	316.155	52.4119	14.3019
-0.830802	315.651	52.3295	14.3561
-0.847603	315.162	52.2488	14.409
-0.858087	314.675	52.1723	14.4618
-0.868253	314.205	52.1019	14.5135
-0.871698	313.716	52.031	14.5669
-0.86941	313.231	51.9635	14.6199
-0.863206	312.722	51.8946	14.6753
-0.85621	312.243	51.8287	14.7276
-0.846486	311.769	51.7631	14.7795
-0.898498	311.324	51.7062	14.8349
-0.869662	310.835	51.6396	14.8885
-0.85095	310.32	51.5747	14.9452
-0.829256	309.841	51.5169	14.9982
-0.794195	309.369	51.4648	15.051
-0.778573	308.888	51.4157	15.1044
-0.746017	308.386	51.3581	15.1598
-0.729199	307.907	51.3033	15.2129
-0.712621	307.421	51.2371	15.2652
-0.685802	306.953	51.1649	15.3173
-0.641512	306.478	51.0892	15.3689
-0.627589	305.979	51.0088	15.4227
-0.598771	305.485	50.9281	15.4758
-0.555539	304.981	50.8432	15.5298
-0.529239	304.492	50.758	15.582
-0.513132	303.978	50.6625	15.6364
-0.480556	303.474	50.5706	15.6896
-0.468294	302.947	50.4732	15.7445
-0.447382	302.434	50.3807	15.7985
-0.410401	301.928	50.2914	15.8521
-0.394607	301.428	50.2029	15.905
-0.369891	300.903	50.1133	15.9604
-0.3584	300.391	50.0253	16.0147
-0.340747	299.87	49.9382	16.07
-0.33164	299.34	49.8499	16.1261
-0.325042	298.828	49.7676	16.1806
-0.321867	298.319	49.6887	16.2349
-0.324408	297.851	49.6197	16.285
-0.329239	297.371	49.5516	16.3367
-0.339886	296.864	49.482	16.3925
-0.353311	296.371	49.4135	16.4466
-0.375208	295.894	49.3493	16.4986
-0.402158	295.371	49.284	16.5558
-0.443215	294.877	49.2221	16.6099
-0.4723	294.412	49.1651	16.6613
-0.49373	293.902	49.104	16.7177
-0.536113	293.433	49.0432	16.7693
-0.567011	292.972	48.9779	16.8202
-0.586963	292.507	48.9056	16.8709
-0.611022	292.008	48.8211	16.926
-0.639848	291.505	48.7311	16.9808
-0.670938	291.006	48.6337	17.0352
-0.727686	290.511	48.5372	17.0893
-0.754833	290.008	48.4351	17.1435
-0.802209	289.491	48.3364	17.1992
-0.828767	288.991	48.2374	17.2528
-0.873657	288.461	48.1368	17.3096
-0.916929	287.959	48.0373	17.3633
-0.954843	287.43	47.9402	17.4198
-0.978042	286.918	47.8485	17.4746
-0.996193	286.423	47.7652	17.5277
-1.01395	285.924	47.6856	17.5821
-1.02687	285.422	47.6101	17.6366
-1.0349	284.927	47.5356	17.6903
-1.03842	284.451	47.4655	17.7424
-1.04264	283.982	47.4009	17.7937
-1.03925	283.514	47.3397	17.8451
-1.03417	283.035	47.2817	17.8977
-1.01481	282.566	47.2243	17.9501
-1.00347	282.092	47.1675	18.0031
-0.98114	281.608	47.1064	18.0569
-0.942658	281.134	47.0467	18.1095
-0.905302	280.633	46.9812	18.165
-0.857931	280.17	46.9126	18.2162
-0.788902	279.672	46.8326	18.2705
-0.725615	279.172	46.7463	18.3251
-0.667714	278.692	46.6653	18.3771
-0.616861	278.202	46.5857	18.4302
-0.557421	277.689	46.5016	18.4857
-0.500929	277.211	46.4219	18.5378
-0.431405	276.734	46.343	18.5897
-0.37537	276.248	46.2669	18.6425
-0.324058	275.781	46.1984	18.6935
-0.277912	275.317	46.135	18.7444
-0.246149	274.827	46.0698	18.7979
-0.200488	274.344	46.0064	18.8509
-0.176312	273.881	45.9467	18.9021
-0.14812	273.417	45.884	18.9531
-0.121305	272.9	45.809	19.0087
-0.0906644	272.371	45.7254	19.0657
-0.0534244	271.844	45.6384	19.1213
-0.0363582	271.329	45.5475	19.175
-0.0206352	270.81	45.4519	19.2292
0.00591509	270.296	45.3499	19.283
0.00378241	269.791	45.2378	19.3354
0.010416	269.283	45.1293	19.3881
0.0049043	268.8	45.0279	19.4385
-0.0119846	268.272	44.924	19.4935
-0.0358402	267.757	44.8331	19.5476
-0.079748	267.221	44.7447	19.6038
-0.129893	266.743	44.6747	19.6541
-0.187101	266.221	44.6	19.7096
-0.256877	265.713	44.5282	19.7636
-0.310863	265.238	44.465	19.8139
-0.364489	264.75	44.4036	19.8656
-0.422955	264.255	44.3466	19.9196
-0.500155	263.801	44.2986	19.9705
-0.544008	263.292	44.2468	20.0279
-0.602601	262.85	44.1977	20.0785
-0.655188	262.418	44.15	20.1286
-0.69918	261.981	44.0943	20.1787
-0.755455	261.501	44.0276	20.2341
-0.804168	261.027	43.9514	20.2878
-0.865468	260.537	43.8639	20.3427
-0.902642	260.057	43.7675	20.3956
-0.951335	259.555	43.6703	20.4505
-0.976846	259.055	43.5717	20.5041
-1.01262	258.543	43.4775	20.5587
-1.05499	258.044	43.3874	20.6121
-1.08646	257.526	43.2933	20.6675
-1.11923	257.014	43.2037	20.7229
-1.13919	256.549	43.1257	20.7731
-1.15135	256.051	43.0393	20.8272
-1.16537	255.552	42.9553	20.8812
-1.16752	255.041	42.8692	20.9367
-1.17071	254.55	42.7893	20.9903
-1.16284	254.055	42.7138	21.0444
-1.15371	253.572	42.6411	21.0971
-1.13862	253.101	42.5693	21.1489
-1.11539	252.627	42.4933	21.2006
-1.09994	252.133	42.4149	21.2541
-1.08314	251.652	42.3446	21.3064
-1.06362	251.159	42.2797	21.3603
-1.03191	250.667	42.222	21.4139
-1.01209	250.187	42.1725	21.467
-0.980611	249.711	42.1195	21.5201
-0.956334	249.241	42.069	21.5726
-0.933528	248.754	42.0203	21.6268
-0.913107	248.291	41.9662	21.678
-0.893791	247.818	41.9026	21.7302
-0.84988	247.333	41.8294	21.7839
-0.832793	246.856	41.7517	21.8364
-0.795728	246.376	41.6727	21.8887
-0.765789	245.906	41.5947	21.9392
-0.714425	245.433	41.5118	21.9903
-0.684766	244.961	41.4267	22.0411
-0.647581	244.476	41.3405	22.0935
-0.623834	244.001	41.2531	22.1445
-0.593858	243.506	41.1671	22.1976
-0.567763	243.032	41.0859	22.2487
-0.542258	242.559	41.0032	22.2997
-0.512103	242.05	40.9103	22.3537
-0.494239	241.552	40.8148	22.4062
-0.467463	241.024	40.7213	22.4621
-0.453732	240.529	40.6386	22.5146
-0.440754	240.049	40.5625	22.5662
-0.427595	239.559	40.4858	22.6188
-0.418406	239.052	40.4032	22.6732
-0.417328	238.573	40.3229	22.7251
-0.425918	238.112	40.2491	22.7753
-0.455845	237.602	40.1703	22.8309
-0.488641	237.096	40.0967	22.8863
-0.526224	236.639	40.0331	22.9368
-0.568624	236.159	39.9706	22.9897
-0.611238	235.656	39.9113	23.0457
-0.640665	235.175	39.8542	23.0993
-0.683239	234.725	39.8035	23.1501
-0.720921	234.276	39.7543	23.2012
-0.757396	233.789	39.6981	23.2565
-0.794795	233.312	39.6338	23.3095
-0.835947	232.806	39.5548	23.3659
-0.896214	232.302	39.4654	23.4213
-0.937889	231.823	39.3691	23.4728
-0.971635	231.345	39.2663	23.5238
-0.988912	230.813	39.1475	23.5798
-1.02999	230.323	39.0411	23.6326
-1.04308	229.83	38.9317	23.6851
-1.06463	229.333	38.8311	23.7383
-1.08434	228.806	38.7312	23.7945
-1.09227	228.322	38.6431	23.8469
-1.09804	227.815	38.5574	23.9016
-1.09813	227.323	38.4783	23.9547
-1.09874	226.816	38.405	24.0096
-1.08944	226.321	38.3383	24.0632
-1.08375	225.803	38.2746	24.1195
-1.05762	225.315	38.2122	24.1734
-1.03444	224.837	38.1537	24.2266
-1.00614	224.351	38.0903	24.2806
-0.959206	223.879	38.0317	24.3332
-0.929493	223.412	37.9801	24.3857
-0.88494	222.953	37.9289	24.4374
-0.837212	222.5	37.8772	24.4886
-0.797518	222.042	37.8222	24.5401
-0.742563	221.572	37.7632	24.5925
-0.693905	221.101	37.7018	24.645
-0.658671	220.637	37.6374	24.6964
-0.621386	220.173	37.5639	24.7477
-0.584245	219.717	37.4871	24.7982
-0.518003	219.222	37.4004	24.8527
-0.476618	218.755	37.3155	24.9036
-0.448378	218.238	37.2181	24.9588
-0.41847	217.752	37.1248	25.0106
-0.367602	217.269	37.0293	25.0622
-0.33139	216.777	36.9338	25.1144
-0.310287	216.247	36.8302	25.1699
-0.275119	215.748	36.7366	25.2228
-0.258918	215.255	36.6444	25.2749
-0.251506	214.775	36.5548	25.3258
-0.250331	214.298	36.4732	25.3765
-0.260473	213.83	36.3972	25.4265
-0.277182	213.334	36.3207	25.4796
-0.302096	212.84	36.2463	25.5326
-0.335102	212.368	36.173	25.5831
-0.370982	211.846	36.0915	25.6395
-0.412564	211.334	36.0186	25.6944
-0.438728	210.86	35.9615	25.7462
-0.458964	210.355	35.9028	25.8017
-0.492366	209.9	35.8563	25.8529
-0.503333	209.441	35.8122	25.9043
-0.506477	208.983	35.7761	25.956
-0.517311	208.481	35.7236	26.0117
-0.551619	208.032	35.677	26.0627
-0.56542	207.574	35.624	26.1145
-0.56152	207.08	35.5576	26.1696
-0.580362	206.624	35.4832	26.2204
-0.594011	206.117	35.386	26.2763
-0.602427	205.653	35.2858	26.3272
-0.616688	205.18	35.1769	26.3786
-0.631986	204.715	35.066	26.4288
-0.657787	204.227	34.9557	26.4812
-0.692276	203.753	34.8548	26.5316
-0.74271	203.262	34.7615	26.5844
-0.779153	202.796	34.6792	26.6347
-0.817081	202.327	34.6015	26.6856
-0.852759	201.816	34.5181	26.7416
-0.893227	201.297	34.4343	26.7981
-0.924699	200.831	34.359	26.8486
-0.960286	200.364	34.283	26.8991
-0.998665	199.865	34.2037	26.953
-1.03018	199.38	34.1294	27.0058
-1.06203	198.897	34.056	27.0583
-1.09158	198.406	33.9822	27.1117
-1.12692	197.898	33.9071	27.1664
-1.15468	197.391	33.8293	27.221
-1.18768	196.88	33.7528	27.2763
-1.21108	196.391	33.679	27.3289
-1.2311	195.866	33.5983	27.3854
-1.23652	195.337	33.5187	27.442
-1.23619	194.821	33.44	27.4972
-1.22998	194.305	33.3594	27.5523
-1.22003	193.813	33.2829	27.6053
-1.219	193.312	33.2066	27.6603
-1.20307	192.82	33.1363	27.7135
-1.19558	192.338	33.0728	27.7657
-1.19097	191.87	33.0201	27.8168
-1.17809	191.395	32.9642	27.869
-1.16674	190.923	32.9096	27.9216
-1.14612	190.43	32.8533	27.976
-1.14105	189.965	32.8045	28.0277
-1.13433	189.473	32.7432	28.0813
-1.11023	189.007	32.6786	28.1325
-1.09839	188.505	32.6054	28.1864
-1.06924	188.028	32.5329	28.2383
-1.02147	187.514	32.4558	28.2937
-0.990623	187.026	32.3828	28.3464
-0.959219	186.538	32.3084	28.3989
-0.918734	186.06	32.2342	28.4511
-0.872386	185.577	32.1594	28.503
-0.839754	185.079	32.0775	28.5562
-0.792681	184.599	31.9943	28.6079
-0.757704	184.133	31.911	28.6581
-0.724561	183.657	31.8263	28.7087
-0.683877	183.126	31.7303	28.7654
-0.653913	182.633	31.6375	28.8172
-0.623107	182.132	31.5475	28.8699
-0.59197	181.65	31.461	28.9207
-0.567831	181.112	31.3638	28.9775
-0.557239	180.594	31.2743	29.0325
-0.559676	180.105	31.1915	29.0845
-0.574746	179.592	31.1064	29.1387
-0.593791	179.099	31.0264	29.1913
-0.611672	178.628	30.9518	29.2421
-0.641919	178.144	30.8784	29.2942
-0.662665	177.659	30.8125	29.3468
-0.686559	177.201	30.7538	29.3972
-0.726881	176.704	30.6916	29.4527
-0.755444	176.259	30.6391	29.5029
-0.783064	175.78	30.5843	29.5581
-0.820974	175.337	30.5312	29.609
-0.870383	174.85	30.469	29.6646
-0.905751	174.406	30.4067	29.7148
-0.942432	173.959	30.3363	29.765
-0.972236	173.463	30.2495	29.8204
-1.00702	172.985	30.1599	29.8724
-1.05276	172.486	30.0617	29.9262
-1.08667	172	29.9573	29.9785
-1.11811	171.483	29.8536	30.0335
-1.13384	170.971	29.7481	30.0879
-1.15636	170.451	29.6472	30.1433
-1.17551	169.929	29.5445	30.1985
-1.19359	169.417	29.4475	30.2531
-1.21232	168.919	29.3588	30.3066
-1.22809	168.425	29.2693	30.3596
-1.23998	167.947	29.1871	30.4112
-1.252	167.446	29.1055	30.4652
-1.25655	166.963	29.0343	30.5179
-1.25771	166.463	28.9663	30.5719
-1.25561	165.95	28.8977	30.6272
-1.25196	165.458	28.827	30.6811
-1.24192	164.959	28.7502	30.7354
-1.23542	164.466	28.6733	30.7894
-1.21089	163.959	28.5972	30.8445
-1.19678	163.458	28.5277	30.8988
-1.17643	162.978	28.4638	30.9518
-1.14643	162.488	28.4003	31.0061
-1.1294	161.981	28.34	31.0618
-1.09665	161.514	28.2832	31.1134
-1.06626	161.056	28.2296	31.1646
-1.04263	160.591	28.176	31.2159
-1.02406	160.123	28.1251	31.2671
-0.997609	159.628	28.0604	31.3208
-0.973324	159.155	27.9932	31.3726
-0.935303	158.663	27.9206	31.4261
-0.906388	158.193	27.8506	31.477
-0.884756	157.7	27.7761	31.5302
-0.860207	157.222	27.7004	31.5819
-0.816038	156.733	27.6212	31.6347
-0.80114	156.233	27.538	31.6879
-0.77936	155.748	27.4558	31.7395
-0.755304	155.251	27.3688	31.7922
-0.724979	154.75	27.2793	31.8452
-0.706912	154.256	27.1897	31.8974
-0.700141	153.782	27.1013	31.9475
-0.692248	153.307	27.0163	31.9981
-0.683993	152.788	26.9263	32.0535
-0.682608	152.319	26.8467	32.1037
-0.684702	151.825	26.7637	32.1565
-0.68847	151.335	26.6816	32.2085
-0.694279	150.864	26.605	32.2589
-0.705724	150.348	26.5227	32.3146
-0.712757	149.844	26.445	32.3685
-0.724532	149.372	26.3742	32.4196
-0.739915	148.888	26.3045	32.4722
-0.763112	148.418	26.2402	32.5237
-0.776941	147.954	26.1801	32.5745
-0.795004	147.487	26.1221	32.6264
-0.817203	147.027	26.0663	32.6777
-0.827738	146.561	26.011	32.7296
-0.851615	146.069	25.9466	32.7846
-0.847608	145.578	25.879	32.8394
-0.88052	145.077	25.7994	32.8956
-0.879123	144.573	25.7094	32.9511
-0.909083	144.062	25.6126	33.007
-0.934296	143.594	25.5185	33.0574
-0.952221	143.108	25.4115	33.109
-0.977363	142.592	25.3062	33.1641
-1.01221	142.103	25.2066	33.2164
-1.02591	141.619	25.1127	33.2679
-1.03234	141.148	25.0211	33.3183
-1.04545	140.638	24.9284	33.373
-1.05936	140.12	24.8378	33.4283
-1.06777	139.615	24.7528	33.4823
-1.07654	139.096	24.6662	33.5382
-1.07736	138.59	24.5869	33.5924
-1.07807	138.11	24.5155	33.6442
-1.07063	137.615	24.45	33.698
-1.06633	137.15	24.3899	33.7487
-1.05011	136.661	24.326	33.8017
-1.0341	136.179	24.2635	33.854
-1.01258	135.682	24.2018	33.9086
-0.995636	135.2	24.1405	33.9616
-0.963628	134.705	24.0773	34.016
-0.941791	134.206	24.0168	34.071
-0.905142	133.695	23.9508	34.127
-0.878292	133.205	23.8893	34.1806
-0.839163	132.708	23.8233	34.2347
-0.809213	132.22	23.7571	34.2879
-0.784869	131.71	23.6871	34.3432
-0.749943	131.203	23.6141	34.3982
-0.713252	130.707	23.5403	34.4527
-0.67672	130.229	23.4676	34.5046
-0.630313	129.755	23.3944	34.5564
-0.595085	129.295	23.3211	34.6064
-0.562345	128.787	23.2382	34.6611
-0.53679	128.302	23.157	34.7135
-0.498005	127.819	23.0748	34.7656
-0.472292	127.349	22.9931	34.8163
-0.454357	126.827	22.9008	34.8716
-0.424464	126.352	22.8158	34.9224
-0.386699	125.834	22.723	34.9774
-0.359218	125.347	22.6335	35.029
-0.340298	124.85	22.5446	35.0813
-0.322113	124.361	22.4582	35.1332
-0.306203	123.861	22.371	35.1864
-0.30302	123.383	22.289	35.2375
-0.304791	122.904	22.208	35.2888
-0.308026	122.436	22.1322	35.3391
-0.320483	121.914	22.0498	35.3953
-0.329426	121.399	21.9716	35.4508
-0.348574	120.91	21.9008	35.5037
-0.37395	120.445	21.8376	35.5547
-0.386469	119.936	21.7715	35.611
-0.413872	119.48	21.7114	35.6613
-0.458981	118.989	21.6456	35.7159
-0.498504	118.536	21.5862	35.7664
-0.523981	118.053	21.5257	35.8201
-0.565165	117.602	21.4683	35.8705
-0.607704	117.153	21.4091	35.9207
-0.654144	116.693	21.3442	35.9722
-0.693792	116.216	21.2731	36.025
-0.742342	115.754	21.2026	36.0762
-0.766211	115.252	21.1219	36.1314
-0.813443	114.744	21.0363	36.1869
-0.837296	114.225	20.9426	36.2427
-0.875196	113.762	20.8504	36.2928
-0.903349	113.289	20.7527	36.3429
-0.939784	112.818	20.6579	36.393
-0.974859	112.291	20.5551	36.4491
-1.0072	111.768	20.46	36.505
-1.02539	111.288	20.3735	36.5564
-1.03916	110.818	20.2878	36.6067
-1.05236	110.331	20.2023	36.6588
-1.06169	109.862	20.1202	36.7092
-1.06787	109.361	20.037	36.7634
-1.07274	108.865	19.9569	36.8168
-1.07395	108.354	19.8755	36.8717
-1.06998	107.849	19.7976	36.9261
-1.06509	107.373	19.7261	36.9777
-1.06192	106.901	19.6579	37.0291
-1.05445	106.43	19.5893	37.0808
-1.03474	105.935	19.5184	37.1348
-1.00292	105.467	19.4525	37.1867
-0.984648	104.99	19.3885	37.2396
-0.95485	104.516	19.3245	37.2924
-0.922047	104.04	19.2601	37.3458
-0.880935	103.557	19.1971	37.4007
-0.827578	103.071	19.1367	37.4555
-0.80093	102.618	19.0878	37.5061
-0.762713	102.141	19.0444	37.5599
-0.732177	101.664	18.996	37.6124
-0.681954	101.184	18.9383	37.6663
-0.649097	100.686	18.8686	37.7211
-0.59835	100.196	18.7917	37.775
-0.53849	99.7216	18.7137	37.8272
-0.509104	99.2282	18.6253	37.8802
-0.478337	98.7379	18.5332	37.9322
-0.442115	98.2535	18.4341	37.9837
-0.390349	97.7509	18.3288	38.0361
-0.365616	97.2505	18.2244	38.0882
-0.343384	96.7705	18.1261	38.1386
-0.324313	96.2609	18.024	38.1916
-0.309752	95.7704	17.9329	38.2429
-0.298712	95.2631	17.8435	38.2959
-0.292916	94.7572	17.7581	38.3492
-0.289547	94.2727	17.6802	38.401
-0.29551	93.7992	17.6095	38.452
-0.306597	93.2964	17.5401	38.5063
-0.334062	92.8123	17.4789	38.5595
-0.350409	92.3647	17.4303	38.6097
-0.382914	91.8675	17.3721	38.6655
-0.431637	91.3921	17.3221	38.7203
-0.491334	90.9021	17.2663	38.7764
-0.527123	90.4143	17.2138	38.8322
-0.568624	89.9738	17.1642	38.8823
-0.612968	89.5311	17.1108	38.9329
-0.659721	89.0865	17.0548	38.983
-0.692145	88.6324	16.9908	39.0333
-0.734424	88.1675	16.914	39.0848
-0.796496	87.6963	16.8282	39.1365
-0.807278	87.1936	16.7259	39.1896
-0.852938	86.7167	16.6282	39.2401
-0.907071	86.1866	16.5138	39.2964
-0.947164	85.7008	16.4028	39.3473
-0.981945	85.226	16.2939	39.3973
-1.00744	84.7002	16.1791	39.4528
-1.04525	84.1826	16.0779	39.5081
-1.06125	83.6732	15.9823	39.5626
-1.08145	83.1546	15.8921	39.6185
-1.09594	82.6468	15.8066	39.6736
-1.11017	82.1298	15.7251	39.7299
-1.1212	81.6656	15.6558	39.7805
-1.12093	81.1587	15.5861	39.8358
-1.11482	80.6987	15.5287	39.8869
-1.10768	80.2464	15.4773	39.9372
-1.0945	79.7876	15.4288	39.9882
-1.08343	79.2867	15.3784	40.0444
-1.05601	78.7972	15.3212	40.0998
-1.02946	78.3148	15.266	40.1553
-0.992477	77.8305	15.2079	40.211
-0.958735	77.3312	15.1479	40.267
-0.940224	76.8505	15.0977	40.3215
-0.9114	76.3616	15.0409	40.3763
-0.880018	75.8681	14.9783	40.4313
-0.857653	75.3918	14.9066	40.4832
-0.825442	74.9039	14.8283	40.5363
-0.781488	74.4081	14.7475	40.5898
-0.757078	73.8991	14.6577	40.6444
